subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
15, test, 2, vibration during choice, 14, 1, 4, 5.jpg, 8.jpg, 0.194746258, 0.411853134, 0.411853134, left, 1, 4, 1, 8.jpg, 5.jpg, 0.28355339996051043, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
15, test, 2, vibration during choice, 15, 1, 3, 5.jpg, 7.jpg, 0.254919143, 0.410741903, 0.254919143, right, 2, 1, 3, 5.jpg, 7.jpg, 0.3111642000731081, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
15, test, 2, vibration during choice, 16, 3, 4, 7.jpg, 8.jpg, 0.384469806, 0.434571537, 0.434571537, left, 1, 4, 3, 8.jpg, 7.jpg, 0.3032539999112487, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
15, test, 2, vibration during choice, 17, 3, 2, 7.jpg, 6.jpg, 0.397409959, 0.427927548, 0.397409959, right, 2, 3, 2, 7.jpg, 6.jpg, 0.34530719998292625, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
15, test, 2, vibration during choice, 18, 2, 3, 6.jpg, 7.jpg, 0.42862063, 0.380302803, 0.380302803, left, 1, 3, 2, 7.jpg, 6.jpg, 0.4065841999836266, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
15, test, 2, vibration during choice, 19, 4, 1, 8.jpg, 5.jpg, 0.413401572, 0.269452755, 0.269452755, left, 1, 1, 4, 5.jpg, 8.jpg, 0.6217071999562904, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
15, test, 2, vibration during choice, 20, 3, 2, 7.jpg, 6.jpg, 0.408454439, 0.425551488, 0.408454439, right, 2, 3, 2, 7.jpg, 6.jpg, 0.3981328000081703, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
15, test, 2, vibration during choice, 21, 2, 4, 6.jpg, 8.jpg, 0.44190032, 0.423231262, 0.44190032, right, 2, 2, 4, 6.jpg, 8.jpg, 0.7750390999717638, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
15, test, 2, vibration during choice, 22, 1, 2, 5.jpg, 6.jpg, 0.299460569, 0.419525056, 0.419525056, left, 1, 2, 1, 6.jpg, 5.jpg, 0.4928158998955041, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,1
15, test, 2, vibration during choice, 23, 3, 4, 7.jpg, 8.jpg, 0.408863932, 0.39059245, 0.408863932, right, 2, 3, 4, 7.jpg, 8.jpg, 0.4674414999317378, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
